"Submit_ID","Brand_Reg","Model_No","screensize","Screen_Tech","Avg_mode_power","Star","Availability Status","Star2","new column","screensize_inches","Screen_Size_Category"
147239,"Caixun","LE-24V3",59.774,"LCD (LED)",16.3,"N/A","Available",5.5,"CAIXUN",23.53307086614173,"Other"
147329,"PRISM+","Q65 PRO QE",163.896,"LCD (LED)",93.43,"N/A","Available",5.5,"PRISM+",64.5259842519685,"65-inch"
147395,"Panasonic","TH-43LX650Z",108.124,"LCD (LED)",56,"8.0","Available",5,"PANASONIC",42.56850393700787,"Other"
147396,"Panasonic","TH-50LX650Z",125.676,"LCD (LED)",64.17,"8.0","Available",5,"PANASONIC",49.47874015748032,"Other"
147398,"Panasonic","TH-65LX650Z",163.867,"LCD (LED)",93.65,"9.0","Available",6,"PANASONIC",64.51456692913385,"65-inch"
147399,"Panasonic","TH-55LX650Z",138.798,"LCD (LED)",77.67,"8.0","Available",5,"PANASONIC",54.64488188976378,"Other"
147400,"Panasonic","TH-75LX650Z",189.306,"LCD (LED)",118.27,"9.0","Available",6,"PANASONIC",74.52992125984252,"Other"
147401,"Panasonic","TH-43LX800Z",108.124,"LCD (LED)",56,"8.0","Available",5,"PANASONIC",42.56850393700787,"Other"
147402,"Panasonic","TH-50LX800Z",125.676,"LCD (LED)",80.28,"7.0","Available",4.5,"PANASONIC",49.47874015748032,"Other"
147403,"Panasonic","TH-55LX800Z",138.798,"LCD (LED)",159.72,"5.5","Available",2.5,"PANASONIC",54.64488188976378,"Other"
147404,"Panasonic","TH-65LX800Z",163.867,"LCD (LED)",120.81,"8.0","Available",5,"PANASONIC",64.51456692913385,"65-inch"
147405,"Panasonic","TH-75LX800Z",189.306,"LCD (LED)",160.49,"8.0","Available",5,"PANASONIC",74.52992125984252,"Other"
147512,"kogan","KALED50XU9220STE",125.638,"LCD (LED)",77,"N/A","Available",5,"KOGAN",49.463779527559055,"Other"
140925,"AKAI","AK2421FHD",59.774,"LCD (LED)",18,"N/A","Available",6,"AKAI",23.53307086614173,"Other"
140925,"AKAI","AK2421HD",59.774,"LCD (LED)",18,"N/A","Available",6,"AKAI",23.53307086614173,"Other"
140925,"AKAI","AK2421S5D",59.774,"LCD (LED)",18,"N/A","Available",6,"AKAI",23.53307086614173,"Other"
147551,"KONIC","KUD85SG692AS",214.783,"LCD (LED)",200.76,"8.0","Available",5,"KONIC",84.56023622047243,"Other"
147582,"Polaroid","PL3222HDG",80.997,"LCD",23.798,"N/A","Available",6,"POLAROID",31.888582677165353,"32-inch"
147703,"TEAC","LE32GA322",79.967,"LCD (LED)",25.8,"N/A","Available",5.5,"TEAC",31.48307086614173,"32-inch"
147705,"Caixun","LE-39T1",97.401,"LCD (LED)",32,"N/A","Available",6,"CAIXUN",38.346850393700784,"Other"
147705,"Caixun","LE-39T2",97.401,"LCD (LED)",32,"N/A","Available",6,"CAIXUN",38.346850393700784,"Other"
147705,"Caixun","LE-39T3",97.401,"LCD (LED)",32,"N/A","Available",6,"CAIXUN",38.346850393700784,"Other"
147705,"Caixun","LE-39V1",97.401,"LCD (LED)",32,"N/A","Available",6,"CAIXUN",38.346850393700784,"Other"
